sno,present,custom_number,name,author,publisher,publishing_year,price,categories,
182,,182,கர்ண பரம்பரை,நரசிம்மா,வானதி பதிப்பகம்,2010,225.00,வரலாற்று நாவல்,
183,,183,நீள் துயில்,நா.கல்யாணிமணியம் ,சித்தன் கலைக்கூடம்,2009,200.00,வரலாற்று நாவல்,
184,,184,கபாடபுரம்,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2002,55.00,வரலாற்று நாவல்,
185,,185,நித்திலவல்லி,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2002,175.00,வரலாற்று நாவல்,
186,,186,பாண்டிமா தேவி,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2000,250.00,வரலாற்று நாவல்,
187,,187,பாண்டிமா தேவி,நா.பார்த்தசாரதி,திருமகள் நிலையம்,2012,250.00,வரலாற்று நாவல்,
189,,189,மணி பல்லவம்,நா.பார்த்தசாரதி,சீதை பதிப்பகம்,2012,325.00,வரலாற்று நாவல்,
190,,190,ராணி மங்கம்மாள்,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2002,70.00,வரலாற்று நாவல்,
191,,191,ராணி மங்கம்மாள் ,நா.பார்த்தசாரதி,சீதை பதிப்பகம்,2012,70.00,வரலாற்று நாவல்,
192,,192,வஞ்சி மாநகரம்,நா.பார்த்தசாரதி,சீதை பதிப்பகம்,2011,45.00,வரலாற்று நாவல்,
193,,193,வஞ்சி மாநகரம்,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2002,36.00,வரலாற்று நாவல்,
194,,194,வெற்றி முழக்கம்,நா.பார்த்தசாரதி,தமிழ்ப் புத்தகாலயம்,2003,180.00,வரலாற்று நாவல்,
195,,195,முத்தழகி ,நாஞ்சில்மன்னன் ,விசாலம் பதிப்பகம்,2001,80.00,வரலாற்று நாவல்,
196,,196,ஆயிரத்து ஓர் இரவுகள் ,பட்டத்தி மைந்தன்,ராமையா பதிப்பகம்,2011,350.00,வரலாற்று நாவல்,
197,,197,பாண்டியன் நாயகன்,பாரதிதாசன்,நிவேதிதா பதிப்பகம்,2006,100.00,வரலாற்று நாவல்,
198,,198,சந்திர வதனா - 1,பால சுப்பிரமணியன் ,கலைஞன் பதிப்பகம்,1998,85.00,வரலாற்று நாவல்,
199,,199,சந்திர வதனா - 2,பால சுப்பிரமணியன் ,கலைஞன் பதிப்பகம்,1998,110.00,வரலாற்று நாவல்,
